year,canton,haildays_sum,lat_lon,haildays_per_point
2002,AG,842,1381,0.6097031136857349
2003,AG,847,1381,0.6133236784938451
2004,AG,1000,1381,0.724112961622013
2005,AG,924,1381,0.6690803765387401
2006,AG,1772,1381,1.283128167994207
2007,AG,792,1381,0.5734974656046343
2008,AG,874,1381,0.6328747284576394
2009,AG,2537,1381,1.837074583635047
2010,AG,814,1381,0.5894279507603186
2011,AG,1740,1381,1.2599565532223027
2012,AG,988,1381,0.7154236060825488
2013,AG,52,1381,0.03765387400434468
2014,AG,335,1381,0.24257784214337436
2015,AG,460,1381,0.333091962346126
2016,AG,462,1381,0.33454018826937004
2017,AG,1373,1381,0.9942070963070239
2018,AG,688,1381,0.498189717595945
2019,AG,410,1381,0.2968863142650253
2020,AG,186,1381,0.13468501086169443
2021,AG,1749,1381,1.2664735698769007
2022,AG,1082,1381,0.7834902244750181
2002,AI,98,129,0.7596899224806202
2003,AI,163,129,1.2635658914728682
2004,AI,196,129,1.5193798449612403
2005,AI,97,129,0.751937984496124
2006,AI,209,129,1.62015503875969
2007,AI,82,129,0.6356589147286822
2008,AI,244,129,1.8914728682170543
2009,AI,316,129,2.449612403100775
2010,AI,126,129,0.9767441860465116
2011,AI,135,129,1.0465116279069768
2012,AI,50,129,0.3875968992248062
2013,AI,12,129,0.09302325581395349
2014,AI,3,129,0.023255813953488372
2015,AI,50,129,0.3875968992248062
2016,AI,43,129,0.3333333333333333
2017,AI,209,129,1.62015503875969
2018,AI,84,129,0.6511627906976745
2019,AI,14,129,0.10852713178294573
2020,AI,61,129,0.4728682170542636
2021,AI,113,129,0.875968992248062
2022,AI,219,129,1.697674418604651
2002,AR,550,278,1.9784172661870503
2003,AR,282,278,1.014388489208633
2004,AR,405,278,1.4568345323741008
2005,AR,52,278,0.18705035971223022
2006,AR,442,278,1.589928057553957
2007,AR,54,278,0.19424460431654678
2008,AR,372,278,1.3381294964028776
2009,AR,530,278,1.9064748201438848
2010,AR,293,278,1.0539568345323742
2011,AR,302,278,1.0863309352517985
2012,AR,111,278,0.39928057553956836
2013,AR,50,278,0.17985611510791366
2014,AR,23,278,0.08273381294964029
2015,AR,87,278,0.3129496402877698
2016,AR,150,278,0.539568345323741
2017,AR,288,278,1.0359712230215827
2018,AR,184,278,0.6618705035971223
2019,AR,106,278,0.381294964028777
2020,AR,191,278,0.6870503597122302
2021,AR,359,278,1.29136690647482
2022,AR,246,278,0.8848920863309353
2002,BE,2757,5988,0.4604208416833667
2003,BE,9205,5988,1.5372411489645958
2004,BE,4507,5988,0.7526720106880428
2005,BE,4472,5988,0.7468269873079493
2006,BE,9961,5988,1.663493653974616
2007,BE,6607,5988,1.103373413493654
2008,BE,5606,5988,0.9362057448229792
2009,BE,9424,5988,1.573814295257181
2010,BE,5132,5988,0.8570474281897128
2011,BE,5473,5988,0.913994655978624
2012,BE,3096,5988,0.5170340681362725
2013,BE,4009,5988,0.6695056780227121
2014,BE,1679,5988,0.2803941215764863
2015,BE,4064,5988,0.678690714762859
2016,BE,2502,5988,0.41783567134268534
2017,BE,5639,5988,0.9417167668670675
2018,BE,3147,5988,0.5255511022044088
